,appid,title,releaseDate,price,developer tier,publisher tier,genre,early access,achievement,tag,languages,steam award,DLC,recent positive,all positive,single or multi,positive review,negative review,recent player,peek player,most achieved rate
1398,649170,The Seasons,2017-08-25 00:00:00,8500,6.0,6.0,Adventure,0.0,13.0,Adventure,2.0,0.0,1.0,,mixed,single only,43,15,0.0,3,87.3
1399,649190,Blast Zone! Tournament,2019-02-28 00:00:00,10500,5.0,5.0,Action,0.0,45.0,Action,13.0,0.0,0.0,,mixed,single only,524,363,,,2.3
1400,649240,RADtv,2019-08-02 00:00:00,10500,6.0,6.0,Action,0.0,0.0,Action,9.0,0.0,0.0,,mixed,single only,28,10,,,
1401,649300,Wisdom of War,2017-06-07 00:00:00,990,6.0,6.0,Indie,0.0,5.0,Strategy,2.0,0.0,0.0,,5 user reviews,single only,3,9,0.0,2,44.1
1402,649360,Yesterday,2017-08-24 00:00:00,5500,6.0,2.0,Casual,0.0,6.0,Early Access,12.0,0.0,0.0,,positive,single only,23,5,0.0,3,46.4
1403,649450,Deadly Escape,2018-02-10 00:00:00,2200,5.0,5.0,Action,0.0,13.0,Action,1.0,0.0,0.0,,mixed,single only,46,21,,,68.1
1404,649460,Space Panic: Room Escape (VR),2017-06-23 00:00:00,7500,5.0,6.0,Adventure,0.0,10.0,Adventure,1.0,0.0,0.0,,mixed,single only,9,7,,,46.2
1405,649510,Bullet VR,2017-07-17 00:00:00,5500,6.0,6.0,Action,0.0,49.0,Action,1.0,0.0,0.0,,6 user reviews,single only,8,12,,,58.3
1406,649560,L.A.P.D. 2195,,,6.0,6.0,Action,0.0,0.0,Singleplayer,1.0,0.0,0.0,,no user reviews,single only,,,,,
1407,649570,Dash Dash Run!,2017-08-03 00:00:00,0,6.0,6.0,Casual,0.0,17.0,Indie,1.0,0.0,0.0,,mostly positive,single only,7,3,,,81.0
